,mm_mon,DATE
1,19.6,1871-01-01
2,10.7,1871-02-01
3,14.5,1871-03-01
4,33.9,1871-04-01
5,63.6,1871-05-01
6,208.0,1871-06-01
7,277.8,1871-07-01
8,179.4,1871-08-01
9,183.6,1871-09-01
10,36.8,1871-10-01
11,32.4,1871-11-01
12,6.7,1871-12-01
13,7.6,1872-01-01
14,7.5,1872-02-01
15,7.3,1872-03-01
16,24.0,1872-04-01
17,43.8,1872-05-01
18,189.2,1872-06-01
19,291.3,1872-07-01
20,245.2,1872-08-01
21,187.9,1872-09-01
22,78.5,1872-10-01
23,27.6,1872-11-01
24,19.1,1872-12-01
25,3.7,1873-01-01
26,13.5,1873-02-01
27,15.0,1873-03-01
28,24.3,1873-04-01
29,42.8,1873-05-01
30,113.0,1873-06-01
31,264.5,1873-07-01
32,214.2,1873-08-01
33,165.6,1873-09-01
34,60.7,1873-10-01
35,11.5,1873-11-01
36,9.0,1873-12-01
37,8.6,1874-01-01
38,15.8,1874-02-01
39,10.7,1874-03-01
40,16.9,1874-04-01
41,68.3,1874-05-01
42,227.9,1874-06-01
43,306.9,1874-07-01
44,233.5,1874-08-01
45,206.2,1874-09-01
46,93.2,1874-10-01
47,18.7,1874-11-01
48,4.0,1874-12-01
49,9.9,1875-01-01
50,11.4,1875-02-01
51,13.1,1875-03-01
52,23.2,1875-04-01
53,50.6,1875-05-01
54,192.6,1875-06-01
55,307.9,1875-07-01
56,218.7,1875-08-01
57,210.5,1875-09-01
58,56.6,1875-10-01
59,6.3,1875-11-01
60,7.1,1875-12-01
61,0.9,1876-01-01
62,2.1,1876-02-01
63,16.0,1876-03-01
64,16.5,1876-04-01
65,42.5,1876-05-01
66,123.3,1876-06-01
67,296.8,1876-07-01
68,195.6,1876-08-01
69,162.0,1876-09-01
70,46.4,1876-10-01
71,9.5,1876-11-01
72,2.5,1876-12-01
73,29.1,1877-01-01
74,23.4,1877-02-01
75,24.0,1877-03-01
76,35.3,1877-04-01
77,67.4,1877-05-01
78,142.4,1877-06-01
79,156.4,1877-07-01
80,156.9,1877-08-01
81,148.3,1877-09-01
82,107.8,1877-10-01
83,18.9,1877-11-01
84,36.5,1877-12-01
85,10.8,1878-01-01
86,9.1,1878-02-01
87,10.2,1878-03-01
88,36.1,1878-04-01
89,66.5,1878-05-01
90,130.4,1878-06-01
91,294.0,1878-07-01
92,339.3,1878-08-01
93,212.4,1878-09-01
94,79.8,1878-10-01
95,27.3,1878-11-01
96,14.0,1878-12-01
97,2.1,1879-01-01
98,10.7,1879-02-01
99,8.0,1879-03-01
100,8.2,1879-04-01
101,87.7,1879-05-01
102,190.0,1879-06-01
103,224.1,1879-07-01
104,322.1,1879-08-01
105,161.6,1879-09-01
106,86.6,1879-10-01
107,20.5,1879-11-01
108,7.1,1879-12-01
109,3.9,1880-01-01
110,16.5,1880-02-01
111,15.1,1880-03-01
112,21.1,1880-04-01
113,49.6,1880-05-01
114,187.6,1880-06-01
115,271.7,1880-07-01
116,176.8,1880-08-01
117,184.0,1880-09-01
118,87.7,1880-10-01
119,52.8,1880-11-01
120,11.1,1880-12-01
121,1.3,1881-01-01
122,3.2,1881-02-01
123,33.1,1881-03-01
124,23.7,1881-04-01
125,53.1,1881-05-01
126,160.7,1881-06-01
127,292.7,1881-07-01
128,264.6,1881-08-01
129,143.3,1881-09-01
130,49.3,1881-10-01
131,34.7,1881-11-01
132,6.2,1881-12-01
133,10.0,1882-01-01
134,9.4,1882-02-01
135,9.0,1882-03-01
136,18.8,1882-04-01
137,59.6,1882-05-01
138,213.0,1882-06-01
139,331.1,1882-07-01
140,190.3,1882-08-01
141,168.5,1882-09-01
142,73.9,1882-10-01
143,59.6,1882-11-01
144,6.2,1882-12-01
145,17.9,1883-01-01
146,3.6,1883-02-01
147,18.9,1883-03-01
148,16.5,1883-04-01
149,62.1,1883-05-01
150,204.3,1883-06-01
151,269.0,1883-07-01
152,187.9,1883-08-01
153,188.1,1883-09-01
154,83.0,1883-10-01
155,28.2,1883-11-01
156,15.5,1883-12-01
157,7.1,1884-01-01
158,7.4,1884-02-01
159,8.2,1884-03-01
160,20.3,1884-04-01
161,38.3,1884-05-01
162,159.3,1884-06-01
163,292.4,1884-07-01
164,242.6,1884-08-01
165,238.5,1884-09-01
166,86.6,1884-10-01
167,27.0,1884-11-01
168,30.5,1884-12-01
169,9.6,1885-01-01
170,9.9,1885-02-01
171,13.6,1885-03-01
172,19.9,1885-04-01
173,52.8,1885-05-01
174,194.0,1885-06-01
175,272.8,1885-07-01
176,247.9,1885-08-01
177,132.7,1885-09-01
178,73.7,1885-10-01
179,32.1,1885-11-01
180,50.2,1885-12-01
181,4.9,1886-01-01
182,1.2,1886-02-01
183,22.2,1886-03-01
184,12.4,1886-04-01
185,71.1,1886-05-01
186,197.7,1886-06-01
187,315.9,1886-07-01
188,221.8,1886-08-01
189,139.0,1886-09-01
190,132.0,1886-10-01
191,21.4,1886-11-01
192,17.1,1886-12-01
193,17.6,1887-01-01
194,0.6,1887-02-01
195,14.8,1887-03-01
196,20.9,1887-04-01
197,55.2,1887-05-01
198,189.8,1887-06-01
199,301.3,1887-07-01
200,257.4,1887-08-01
201,150.8,1887-09-01
202,87.9,1887-10-01
203,41.1,1887-11-01
204,13.0,1887-12-01
205,19.7,1888-01-01
206,13.6,1888-02-01
207,11.9,1888-03-01
208,25.9,1888-04-01
209,53.1,1888-05-01
210,132.3,1888-06-01
211,274.3,1888-07-01
212,280.0,1888-08-01
213,125.0,1888-09-01
214,38.2,1888-10-01
215,53.1,1888-11-01
216,7.2,1888-12-01
217,10.6,1889-01-01
218,13.4,1889-02-01
219,6.6,1889-03-01
220,24.3,1889-04-01
221,44.8,1889-05-01
222,203.5,1889-06-01
223,279.7,1889-07-01
224,278.1,1889-08-01
225,169.3,1889-09-01
226,94.0,1889-10-01
227,25.4,1889-11-01
228,6.8,1889-12-01
229,2.6,1890-01-01
230,1.1,1890-02-01
231,17.3,1890-03-01
232,26.1,1890-04-01
233,35.8,1890-05-01
234,227.9,1890-06-01
235,300.9,1890-07-01
236,214.1,1890-08-01
237,162.6,1890-09-01
238,64.7,1890-10-01
