index,dC_mon,DATE
1,25.58,1870-01-01
2,25.57,1870-02-01
3,26.43,1870-03-01
4,26.96,1870-04-01
5,26.59,1870-05-01
6,26.61,1870-06-01
7,26.19,1870-07-01
8,25.99,1870-08-01
9,26.22,1870-09-01
10,25.82,1870-10-01
11,25.86,1870-11-01
12,25.79,1870-12-01
13,26.33,1871-01-01
14,26.18,1871-02-01
15,26.83,1871-03-01
16,27.27,1871-04-01
17,27.16,1871-05-01
18,27.16,1871-06-01
19,26.62,1871-07-01
20,26.54,1871-08-01
21,26.51,1871-09-01
22,26.4,1871-10-01
23,26.35,1871-11-01
24,26.01,1871-12-01
25,25.86,1872-01-01
26,26.14,1872-02-01
27,26.76,1872-03-01
28,27.0,1872-04-01
29,27.25,1872-05-01
30,27.16,1872-06-01
31,26.91,1872-07-01
32,26.02,1872-08-01
33,25.73,1872-09-01
34,25.79,1872-10-01
35,25.86,1872-11-01
36,25.71,1872-12-01
37,25.79,1873-01-01
38,25.75,1873-02-01
39,25.95,1873-03-01
40,27.1,1873-04-01
41,27.33,1873-05-01
42,27.21,1873-06-01
43,26.65,1873-07-01
44,26.48,1873-08-01
45,26.41,1873-09-01
46,25.96,1873-10-01
47,25.88,1873-11-01
48,25.89,1873-12-01
49,25.64,1874-01-01
50,25.7,1874-02-01
51,25.85,1874-03-01
52,26.83,1874-04-01
53,27.0,1874-05-01
54,26.96,1874-06-01
55,26.22,1874-07-01
56,25.82,1874-08-01
57,25.62,1874-09-01
58,25.49,1874-10-01
59,25.33,1874-11-01
60,25.45,1874-12-01
61,25.87,1875-01-01
62,26.39,1875-02-01
63,26.66,1875-03-01
64,26.9,1875-04-01
65,26.77,1875-05-01
66,26.92,1875-06-01
67,26.37,1875-07-01
68,26.06,1875-08-01
69,25.84,1875-09-01
70,25.9,1875-10-01
71,26.01,1875-11-01
72,25.83,1875-12-01
73,25.63,1876-01-01
74,25.56,1876-02-01
75,26.13,1876-03-01
76,26.59,1876-04-01
77,26.78,1876-05-01
78,27.25,1876-06-01
79,26.88,1876-07-01
80,26.71,1876-08-01
81,26.73,1876-09-01
82,26.85,1876-10-01
83,26.8,1876-11-01
84,26.81,1876-12-01
85,26.93,1877-01-01
86,27.22,1877-02-01
87,27.78,1877-03-01
88,28.27,1877-04-01
89,28.62,1877-05-01
90,28.67,1877-06-01
91,28.64,1877-07-01
92,28.42,1877-08-01
93,28.5,1877-09-01
94,28.68,1877-10-01
95,28.74,1877-11-01
96,29.07,1877-12-01
97,28.99,1878-01-01
98,29.19,1878-02-01
99,28.57,1878-03-01
100,28.69,1878-04-01
101,28.69,1878-05-01
102,28.61,1878-06-01
103,27.48,1878-07-01
104,26.76,1878-08-01
105,26.43,1878-09-01
106,26.2,1878-10-01
107,25.95,1878-11-01
108,25.83,1878-12-01
109,26.03,1879-01-01
110,26.58,1879-02-01
111,27.02,1879-03-01
112,27.4,1879-04-01
113,27.03,1879-05-01
114,27.02,1879-06-01
115,26.46,1879-07-01
116,26.18,1879-08-01
117,25.93,1879-09-01
118,25.8,1879-10-01
119,25.52,1879-11-01
120,25.56,1879-12-01
121,25.58,1880-01-01
122,26.03,1880-02-01
123,26.63,1880-03-01
124,27.2,1880-04-01
125,27.15,1880-05-01
126,27.08,1880-06-01
127,26.7,1880-07-01
128,26.63,1880-08-01
129,26.72,1880-09-01
130,26.9,1880-10-01
131,26.9,1880-11-01
132,26.77,1880-12-01
133,26.87,1881-01-01
134,26.99,1881-02-01
135,27.58,1881-03-01
136,28.18,1881-04-01
137,28.03,1881-05-01
138,27.92,1881-06-01
139,26.96,1881-07-01
140,26.71,1881-08-01
141,26.42,1881-09-01
142,26.31,1881-10-01
143,26.06,1881-11-01
144,26.22,1881-12-01
145,26.13,1882-01-01
146,26.21,1882-02-01
147,26.73,1882-03-01
148,27.87,1882-04-01
149,27.88,1882-05-01
150,27.29,1882-06-01
151,26.65,1882-07-01
152,26.55,1882-08-01
153,26.24,1882-09-01
154,26.08,1882-10-01
155,25.74,1882-11-01
156,25.83,1882-12-01
157,26.12,1883-01-01
158,26.27,1883-02-01
159,26.86,1883-03-01
160,27.54,1883-04-01
161,27.49,1883-05-01
162,27.48,1883-06-01
163,27.21,1883-07-01
164,26.85,1883-08-01
165,26.58,1883-09-01
166,26.32,1883-10-01
167,26.43,1883-11-01
168,26.44,1883-12-01
169,26.47,1884-01-01
170,26.75,1884-02-01
171,27.26,1884-03-01
172,28.03,1884-04-01
173,28.26,1884-05-01
174,27.55,1884-06-01
175,27.51,1884-07-01
176,27.08,1884-08-01
177,26.94,1884-09-01
178,27.02,1884-10-01
179,26.95,1884-11-01
180,26.93,1884-12-01
181,26.7,1885-01-01
182,27.03,1885-02-01
183,27.38,1885-03-01
184,27.75,1885-04-01
185,28.3,1885-05-01
186,27.85,1885-06-01
187,27.3,1885-07-01
188,27.21,1885-08-01
189,27.27,1885-09-01
190,27.45,1885-10-01
191,27.46,1885-11-01
192,27.61,1885-12-01
193,26.75,1886-01-01
194,26.67,1886-02-01
195,27.15,1886-03-01
196,27.4,1886-04-01
197,27.02,1886-05-01
198,26.79,1886-06-01
199,26.25,1886-07-01
200,25.85,1886-08-01
201,25.54,1886-09-01
202,25.59,1886-10-01
203,25.31,1886-11-01
204,25.15,1886-12-01
205,25.9,1887-01-01
206,25.74,1887-02-01
207,26.08,1887-03-01
208,26.59,1887-04-01
209,26.72,1887-05-01
210,27.12,1887-06-01
211,26.68,1887-07-01
212,26.25,1887-08-01
213,26.41,1887-09-01
214,26.61,1887-10-01
215,26.69,1887-11-01
216,26.74,1887-12-01
217,26.73,1888-01-01
218,27.42,1888-02-01
219,27.66,1888-03-01
220,28.07,1888-04-01
221,28.34,1888-05-01
222,28.09,1888-06-01
223,27.78,1888-07-01
224,27.8,1888-08-01
225,27.33,1888-09-01
226,28.16,1888-10-01
227,28.86,1888-11-01
228,28.26,1888-12-01
229,28.56,1889-01-01
230,28.24,1889-02-01
231,28.09,1889-03-01
232,28.23,1889-04-01
233,28.19,1889-05-01
234,27.78,1889-06-01
235,26.47,1889-07-01
236,25.88,1889-08-01
237,25.83,1889-09-01
238,25.42,1889-10-01
239,25.57,1889-11-01
240,25.34,1889-12-01
241,24.09,1890-01-01
242,24.65,1890-02-01
243,26.11,1890-03-01
244,26.63,1890-04-01
245,26.87,1890-05-01
246,26.82,1890-06-01
247,26.3,1890-07-01
248,25.5,1890-08-01
249,25.46,1890-09-01
250,25.47,1890-10-01
251,25.58,1890-11-01
252,25.9,1890-12-01
253,26.13,1891-01-01
254,26.51,1891-02-01
255,27.19,1891-03-01
256,27.92,1891-04-01
257,27.99,1891-05-01
258,27.97,1891-06-01
259,27.34,1891-07-01
260,26.93,1891-08-01
261,26.67,1891-09-01
262,26.7,1891-10-01
263,26.71,1891-11-01
264,26.6,1891-12-01
265,26.08,1892-01-01
266,26.42,1892-02-01
267,26.68,1892-03-01
268,27.12,1892-04-01
269,27.14,1892-05-01
270,27.12,1892-06-01
271,26.6,1892-07-01
272,26.25,1892-08-01
273,25.68,1892-09-01
274,25.19,1892-10-01
275,25.03,1892-11-01
276,25.41,1892-12-01
277,25.35,1893-01-01
278,25.6,1893-02-01
279,26.02,1893-03-01
280,26.47,1893-04-01
281,26.55,1893-05-01
282,26.5,1893-06-01
283,25.91,1893-07-01
284,25.58,1893-08-01
285,25.48,1893-09-01
286,25.37,1893-10-01
287,25.35,1893-11-01
288,25.59,1893-12-01
289,25.49,1894-01-01
290,25.63,1894-02-01
291,26.2,1894-03-01
292,26.85,1894-04-01
293,26.87,1894-05-01
294,26.85,1894-06-01
295,26.34,1894-07-01
296,26.07,1894-08-01
297,25.65,1894-09-01
298,25.91,1894-10-01
299,25.73,1894-11-01
300,26.11,1894-12-01
301,25.85,1895-01-01
302,26.28,1895-02-01
303,26.86,1895-03-01
304,27.6,1895-04-01
305,27.83,1895-05-01
306,27.47,1895-06-01
307,26.96,1895-07-01
308,27.23,1895-08-01
309,27.17,1895-09-01
310,27.05,1895-10-01
311,27.1,1895-11-01
312,27.07,1895-12-01
313,26.74,1896-01-01
314,26.85,1896-02-01
315,27.41,1896-03-01
316,27.76,1896-04-01
317,27.82,1896-05-01
318,27.48,1896-06-01
319,27.66,1896-07-01
320,27.92,1896-08-01
321,27.79,1896-09-01
322,27.83,1896-10-01
323,28.16,1896-11-01
324,28.14,1896-12-01
325,28.07,1897-01-01
326,27.9,1897-02-01
327,27.8,1897-03-01
328,27.55,1897-04-01
329,27.69,1897-05-01
330,27.66,1897-06-01
331,27.29,1897-07-01
332,26.73,1897-08-01
333,26.51,1897-09-01
334,26.17,1897-10-01
335,26.04,1897-11-01
336,26.19,1897-12-01
337,26.07,1898-01-01
338,26.19,1898-02-01
339,26.47,1898-03-01
340,27.16,1898-04-01
341,27.28,1898-05-01
342,27.4,1898-06-01
343,26.59,1898-07-01
344,26.11,1898-08-01
345,26.56,1898-09-01
346,26.4,1898-10-01
347,26.0,1898-11-01
348,25.8,1898-12-01
349,25.83,1899-01-01
350,26.05,1899-02-01
351,26.69,1899-03-01
352,27.43,1899-04-01
353,27.9,1899-05-01
354,27.78,1899-06-01
355,27.2,1899-07-01
356,27.51,1899-08-01
357,27.18,1899-09-01
358,27.66,1899-10-01
359,27.94,1899-11-01
360,28.09,1899-12-01
361,27.99,1900-01-01
362,28.06,1900-02-01
363,28.25,1900-03-01
364,28.43,1900-04-01
365,28.4,1900-05-01
366,28.45,1900-06-01
367,27.97,1900-07-01
368,27.65,1900-08-01
369,27.31,1900-09-01
370,27.15,1900-10-01
371,26.79,1900-11-01
372,27.19,1900-12-01
373,27.4,1901-01-01
374,27.06,1901-02-01
375,27.3,1901-03-01
376,27.64,1901-04-01
377,27.68,1901-05-01
378,27.43,1901-06-01
379,26.93,1901-07-01
380,26.5,1901-08-01
381,26.45,1901-09-01
382,26.42,1901-10-01
383,26.26,1901-11-01
384,26.24,1901-12-01
385,26.08,1902-01-01
386,26.5,1902-02-01
387,26.99,1902-03-01
388,27.97,1902-04-01
389,28.34,1902-05-01
390,28.45,1902-06-01
391,28.67,1902-07-01
392,28.09,1902-08-01
393,28.19,1902-09-01
394,28.13,1902-10-01
395,28.19,1902-11-01
396,27.98,1902-12-01
397,27.91,1903-01-01
398,27.69,1903-02-01
399,28.05,1903-03-01
400,28.13,1903-04-01
401,27.77,1903-05-01
402,27.98,1903-06-01
403,26.74,1903-07-01
404,26.55,1903-08-01
405,26.15,1903-09-01
406,26.31,1903-10-01
407,25.89,1903-11-01
408,25.57,1903-12-01
409,25.84,1904-01-01
410,25.97,1904-02-01
411,26.4,1904-03-01
412,27.05,1904-04-01
413,27.47,1904-05-01
414,27.83,1904-06-01
415,27.98,1904-07-01
416,27.42,1904-08-01
417,26.76,1904-09-01
418,27.65,1904-10-01
419,26.81,1904-11-01
420,27.44,1904-12-01
421,27.26,1905-01-01
422,27.48,1905-02-01
423,28.18,1905-03-01
424,28.06,1905-04-01
425,28.94,1905-05-01
426,28.28,1905-06-01
427,28.05,1905-07-01
428,27.92,1905-08-01
429,28.18,1905-09-01
430,27.85,1905-10-01
431,27.48,1905-11-01
432,27.76,1905-12-01
433,27.47,1906-01-01
434,27.44,1906-02-01
435,28.06,1906-03-01
436,28.22,1906-04-01
437,27.88,1906-05-01
438,27.83,1906-06-01
439,26.73,1906-07-01
440,26.51,1906-08-01
441,25.94,1906-09-01
442,25.87,1906-10-01
443,26.33,1906-11-01
444,26.07,1906-12-01
445,26.01,1907-01-01
446,26.36,1907-02-01
447,26.83,1907-03-01
448,27.21,1907-04-01
449,27.39,1907-05-01
450,27.28,1907-06-01
451,26.68,1907-07-01
452,26.22,1907-08-01
453,26.88,1907-09-01
454,26.48,1907-10-01
455,26.4,1907-11-01
456,26.49,1907-12-01
457,26.3,1908-01-01
458,26.83,1908-02-01
459,26.63,1908-03-01
460,27.22,1908-04-01
461,27.41,1908-05-01
462,27.47,1908-06-01
463,26.59,1908-07-01
464,26.48,1908-08-01
465,26.23,1908-09-01
466,26.23,1908-10-01
467,25.78,1908-11-01
468,25.43,1908-12-01
469,26.29,1909-01-01
470,25.88,1909-02-01
471,26.72,1909-03-01
472,27.09,1909-04-01
473,27.5,1909-05-01
474,26.59,1909-06-01
475,26.22,1909-07-01
476,25.9,1909-08-01
477,25.9,1909-09-01
478,25.49,1909-10-01
479,25.15,1909-11-01
480,25.51,1909-12-01
481,25.65,1910-01-01
482,26.12,1910-02-01
483,26.46,1910-03-01
484,26.59,1910-04-01
485,26.46,1910-05-01
486,26.65,1910-06-01
487,26.35,1910-07-01
488,25.98,1910-08-01
489,25.46,1910-09-01
490,25.8,1910-10-01
491,26.13,1910-11-01
492,25.95,1910-12-01
493,26.01,1911-01-01
494,26.18,1911-02-01
495,26.44,1911-03-01
496,26.66,1911-04-01
497,26.82,1911-05-01
498,27.05,1911-06-01
499,27.01,1911-07-01
500,26.59,1911-08-01
501,26.97,1911-09-01
502,26.93,1911-10-01
503,27.5,1911-11-01
504,27.55,1911-12-01
505,28.13,1912-01-01
506,27.59,1912-02-01
507,27.95,1912-03-01
508,28.35,1912-04-01
509,27.87,1912-05-01
510,27.44,1912-06-01
511,27.12,1912-07-01
512,26.48,1912-08-01
513,26.85,1912-09-01
514,26.6,1912-10-01
515,26.82,1912-11-01
516,26.1,1912-12-01
517,26.38,1913-01-01
518,26.94,1913-02-01
519,27.42,1913-03-01
520,27.0,1913-04-01
521,27.58,1913-05-01
522,27.53,1913-06-01
523,27.08,1913-07-01
524,26.79,1913-08-01
525,26.8,1913-09-01
526,26.76,1913-10-01
527,27.45,1913-11-01
528,27.43,1913-12-01
529,27.28,1914-01-01
530,27.56,1914-02-01
531,27.58,1914-03-01
532,28.46,1914-04-01
533,27.87,1914-05-01
534,27.77,1914-06-01
535,27.75,1914-07-01
536,27.8,1914-08-01
537,27.43,1914-09-01
538,26.99,1914-10-01
539,26.96,1914-11-01
540,27.27,1914-12-01
541,27.46,1915-01-01
542,27.41,1915-02-01
543,27.75,1915-03-01
544,28.24,1915-04-01
545,28.38,1915-05-01
546,28.78,1915-06-01
547,27.29,1915-07-01
548,26.93,1915-08-01
549,26.92,1915-09-01
550,26.97,1915-10-01
551,26.51,1915-11-01
552,26.36,1915-12-01
553,26.46,1916-01-01
554,26.16,1916-02-01
555,26.72,1916-03-01
556,27.14,1916-04-01
557,27.64,1916-05-01
558,27.32,1916-06-01
559,26.12,1916-07-01
560,25.39,1916-08-01
561,25.39,1916-09-01
562,25.37,1916-10-01
563,24.93,1916-11-01
564,24.95,1916-12-01
565,25.02,1917-01-01
566,25.56,1917-02-01
567,26.62,1917-03-01
568,27.48,1917-04-01
569,27.57,1917-05-01
570,27.65,1917-06-01
571,27.18,1917-07-01
572,27.03,1917-08-01
573,26.73,1917-09-01
574,26.77,1917-10-01
575,26.23,1917-11-01
576,25.87,1917-12-01
577,25.74,1918-01-01
578,25.94,1918-02-01
579,26.3,1918-03-01
580,27.21,1918-04-01
581,27.7,1918-05-01
582,28.06,1918-06-01
583,27.15,1918-07-01
584,27.0,1918-08-01
585,27.16,1918-09-01
586,27.66,1918-10-01
587,27.89,1918-11-01
588,27.89,1918-12-01
589,28.18,1919-01-01
590,28.0,1919-02-01
591,28.16,1919-03-01
592,28.46,1919-04-01
593,28.49,1919-05-01
594,28.29,1919-06-01
595,27.63,1919-07-01
596,27.5,1919-08-01
597,27.26,1919-09-01
598,26.87,1919-10-01
599,26.29,1919-11-01
600,26.93,1919-12-01
601,27.22,1920-01-01
602,27.37,1920-02-01
603,27.79,1920-03-01
604,27.61,1920-04-01
605,27.66,1920-05-01
606,27.98,1920-06-01
607,27.37,1920-07-01
608,27.01,1920-08-01
609,27.02,1920-09-01
610,27.22,1920-10-01
611,26.57,1920-11-01
612,26.57,1920-12-01
613,27.01,1921-01-01
614,26.25,1921-02-01
615,25.84,1921-03-01
616,27.22,1921-04-01
617,26.94,1921-05-01
618,27.47,1921-06-01
619,26.95,1921-07-01
620,26.59,1921-08-01
621,26.58,1921-09-01
622,26.77,1921-10-01
623,25.62,1921-11-01
624,26.09,1921-12-01
625,26.04,1922-01-01
626,26.69,1922-02-01
627,27.33,1922-03-01
628,27.23,1922-04-01
629,28.09,1922-05-01
630,27.25,1922-06-01
631,26.78,1922-07-01
632,26.09,1922-08-01
633,26.38,1922-09-01
634,26.48,1922-10-01
635,26.34,1922-11-01
636,26.06,1922-12-01
637,26.17,1923-01-01
638,26.0,1923-02-01
639,26.41,1923-03-01
640,27.22,1923-04-01
641,27.62,1923-05-01
642,27.54,1923-06-01
643,27.03,1923-07-01
644,27.07,1923-08-01
645,27.4,1923-09-01
646,27.52,1923-10-01
647,27.52,1923-11-01
648,27.6,1923-12-01
649,27.04,1924-01-01
650,27.39,1924-02-01
651,27.65,1924-03-01
652,27.75,1924-04-01
653,27.02,1924-05-01
654,27.02,1924-06-01
655,26.25,1924-07-01
656,26.09,1924-08-01
657,25.89,1924-09-01
658,26.28,1924-10-01
659,25.56,1924-11-01
660,25.93,1924-12-01
661,25.55,1925-01-01
662,26.29,1925-02-01
663,26.73,1925-03-01
664,27.25,1925-04-01
665,27.47,1925-05-01
666,27.51,1925-06-01
667,27.73,1925-07-01
668,27.55,1925-08-01
669,27.52,1925-09-01
670,27.58,1925-10-01
671,27.66,1925-11-01
672,28.19,1925-12-01
673,28.1,1926-01-01
674,28.06,1926-02-01
675,28.44,1926-03-01
676,28.78,1926-04-01
677,28.69,1926-05-01
678,28.29,1926-06-01
679,27.86,1926-07-01
680,27.03,1926-08-01
681,26.68,1926-09-01
682,26.34,1926-10-01
683,26.38,1926-11-01
684,26.36,1926-12-01
685,26.68,1927-01-01
686,27.0,1927-02-01
687,27.08,1927-03-01
688,27.5,1927-04-01
689,27.28,1927-05-01
690,27.54,1927-06-01
691,26.92,1927-07-01
692,26.78,1927-08-01
693,26.6,1927-09-01
694,27.0,1927-10-01
695,26.61,1927-11-01
696,26.84,1927-12-01
